VEHICLE_ID,YEAR,MAKE,MODEL
1000030,2017,MERCEDES-BENZ,S CLASS MAYBACH 650
2005191,2012,PORSCHE,911 CARRERA CARRERA 4/CARRERA 2
2005195,2012,PORSCHE,911 CARRERA 4/CARRERA 2
2005211,2012,PORSCHE,911 CARRERA S/CARRERA GTS
2005213,2012,PORSCHE,911 CARRERA CARRERA S/CARRERA 4S
2005262,2012,PORSCHE,911 CARRERA CARRERA 4/CARRERA 2
2005279,2012,PORSCHE,911  CARRERA 4/CARRERA 2
2005295,2012,PORSCHE,911 CARRERA CARRERA S/CARRERA 4S
2005309,2012,PORSCHE,911  CARRERA S/CARRERA GTS
4000020,2011,DODGE,DAKOTA CC BIGHORN/LONESTAR
4000042,2011,DODGE,DURANGO HEAT
4000092,2018,SUBARU,IMPREZA 2.0I VDC
4000094,2017,SUBARU,IMPREZA 2.0I VDC
4000098,2017,SUBARU,IMPREZA 2.0I PREM. VDC
4000099,2018,SUBARU,IMPREZA 2.0I PREM. VDC
4000101,2017,SUBARU,IMPREZA W/ EYESIGHT 2.0I PREMIUM VDC
4000103,2017,SUBARU,IMPREZA 2.0I SPT VDC
4000105,2018,SUBARU,IMPREZA 2.0I SPT VDC
4000111,2017,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT VDC
4000113,2017,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC
4000116,2017,SUBARU,IMPREZA 2.0I VDC
4000130,2017,SUBARU,IMPREZA 2.0I PREM. VDC
4000131,2018,SUBARU,IMPREZA 2.0I PREM. VDC
4000134,2017,SUBARU,IMPREZA W/ EYESIGHT 2.0I PREMIUM VDC
4000135,2018,SUBARU,IMPREZA W/ EYESIGHT 2.0I PREMIUM VDC
4000138,2017,SUBARU,IMPREZA 2.0I SPT VDC
4000142,2017,SUBARU,IMPREZA W/ EYESIGHT 2.0I SPORT VDC
4000145,2017,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC
4000146,2018,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC
4000148,2018,SUBARU,IMPREZA WITH EYESIGHT 2.0I LTD VDC NAVI
4000151,2012,SUBARU,FORESTER 2.5X VDC
4004636,2010,SUBARU,LEGACY 2.5I VDC
4004637,2012,SUBARU,LEGACY 2.5I VDC
4004649,2014,SUBARU,LEGACY 2.5I VDC
4004650,2011,SUBARU,LEGACY 2.5I VDC
4004681,2010,SUBARU,LEGACY 2.5I PREM. VDC
4004685,2011,SUBARU,LEGACY 2.5I PREM. VDC
4004686,2012,SUBARU,LEGACY 2.5I PREM. VDC
4004695,2013,SUBARU,LEGACY 2.5I PREM. VDC
4004855,2014,SUBARU,LEGACY 2.5I PREM. VDC
